City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,33.57,23,0,8.23,US,1691889291
1,pisco,-13.7,-76.2167,19.03,77,0,6.17,PE,1691889291
2,nizhniy kuranakh,58.8353,125.4869,22.29,68,75,1.6,RU,1691889292
3,georgetown,5.4112,100.3354,28.86,89,40,1.54,MY,1691889112
4,poshekhonye,58.4993,39.1353,19.7,66,0,4.48,RU,1691889292
5,kapaa,22.0752,-159.319,30.18,71,40,6.17,US,1691889292
6,hermanus,-34.4187,19.2345,8.22,84,100,4.36,ZA,1691889293
7,katsuura,35.1333,140.3,28.87,80,65,4.79,JP,1691889293
8,lesozavodsk,45.4794,133.4244,23.87,74,0,2.16,RU,1691889294
9,albany,42.6001,-73.9662,22.63,77,90,1.47,US,1691889294
10,vila velha,-20.3297,-40.2925,22.97,83,0,5.66,BR,1691889294
11,jamestown,42.097,-79.2353,20.95,96,100,4.63,US,1691889214
12,hobart,-42.8794,147.3294,10.03,63,75,4.63,AU,1691889295
13,port hardy,50.6996,-127.4199,19.1,77,20,5.66,CA,1691889295
14,sur,22.5667,59.5289,29.0,64,0,4.21,OM,1691889295
15,qaanaaq,77.484,-69.3632,5.52,74,99,2.78,GL,1691889296
16,avarua,-21.2078,-159.775,27.03,83,40,3.09,CK,1691889296
17,wenatchee,47.4235,-120.3103,35.58,22,0,3.09,US,1691889296
18,new norfolk,-42.7826,147.0587,9.84,54,89,1.48,AU,1691889296
19,mehamn,71.0357,27.8492,12.95,91,19,4.09,NO,1691889297
20,faanui,-16.4833,-151.75,25.49,66,84,6.67,PF,1691889297
21,truth or consequences,33.1284,-107.2528,31.62,30,0,5.14,US,1691889047
22,linares,-35.85,-71.6,8.18,79,25,2.32,CL,1691889298
23,punta arenas,-53.15,-70.9167,0.96,75,100,3.66,CL,1691889248
24,bluff,-46.6,168.3333,9.33,85,100,3.54,NZ,1691889298
